course,area,dpc,duration,expositor,expositor_firma
DECLARACIÓN DE PERSONAS MORALES 2021,FISCAL,6,5,C.P.C CARLOS MARIO MEJÍA CRUZ,CPC_CARLOS_MARIO_MEJIA_CRUZ.png
ACTUALIZACIÓN FÍSCAL 2021,FISCAL,6,5,L.D C.P. JOSÉ LUIS CASTRO PERALTA,LDCP_JOSE_LUIS_CASTRO_PERALTA.png
BLINDAJE FISCAL,FISCAL,6,5,C.P.C. MARIO ERIC ANAYA ARTEAGA,CPC_MARIO_ERIC_ANAYA_ARTEAGA.png
BLINDAJE LABORAL,FISCAL,6,5,L.D. ANIBAL LÓPEZ MARTÍNEZ,LD_ANIBAL_LOPEZ_MARTINEZ.png
CONTRATOS COMO SOPORTE FISCAL-LEGAL,FISCAL,6,5,L.D. ANIBAL LÓPEZ MARTÍNEZ,LD_ANIBAL_LOPEZ_MARTINEZ.png
DEFENSA FISCAL EDOS-EFOS ANTE PRESUNCIÓN DE OPERACIONES Y MATERIALIDAD DE OPERACIONES,FISCAL,6,5,L.C.P. E.F ARTURO OLVERA MÁRQUEZ,LCP_EF_ARTURO_OLVERA_MARQUEZ.png
IMPUGNACIÓN DE MULTAS SAT-IMSS Y DESBLOQUEO CERTIFICADO SELLO DIGITAL,FISCAL,6,5,L.C.P. E.F ARTURO OLVERA MÁRQUEZ,LCP_EF_ARTURO_OLVERA_MARQUEZ.png
CFDI: COMPLEMENTO CARTA PORTE,FISCAL,6,5,L.C.P. E.F ARTURO OLVERA MÁRQUEZ,LCP_EF_ARTURO_OLVERA_MARQUEZ.png
"ICSOE, REPSE Y SISUB 2021",FISCAL,6,5,C.P.C FERNANDO GONZÁLEZ,CPC_FERNANDO_GONZALES.png
DEFENSA FISCAL Y ATENCIÓN A VISITAS DOMICILIARIAS,FISCAL,6,5,L.C.P. E.F ARTURO OLVERA MÁRQUEZ,LCP_EF_ARTURO_OLVERA_MARQUEZ.png
REFORMAS FISCALES 2022,FISCAL,6,5,C.P.C FERNANDO GONZÁLEZ,CPC_FERNANDO_GONZALES.png
NUEVO RÉGIMEN DE CONFIANZA 2022,FISCAL,6,5,MTRO. ALBERTO DE PAZ,MTTRO_ALBERTO_DE_PAZ.png
